"","price","bedrooms","bathrooms","Sqft_of_home","sqft_lot","floors","waterfront","view","condition","grade","sqft_above","sqft_basement","yr_built","Sqft_of_livinge_room_2015","Sqft_of_lot_2015","Median_Income","Mean_Income","population","people_employed","people_educated","bachelor_degrees","grad_degrees","log_p"
"102",555000,3,2,1980,3478,1.5,0,0,4,7,1440,540,1929,1610,3478,92316,108574,31921,19236,23976,9337,6322,13.2267233927286
"104",1088000,3,2.5,2920,8113,2,0,0,3,8,2920,0,1950,2370,8113,102374,148860,32587,17207,24560,9986,7517,13.899851706398
"106",375000,3,2.5,2340,10005,1,0,0,4,8,1460,880,1978,2250,8162,82134,95411,44430,23280,30762,8545,3142,12.8346813049525
"107",460000,3,1,1670,4005,1.5,0,0,4,7,1170,500,1939,1240,4005,92316,108574,31921,19236,23976,9337,6322,13.0389817684653
"108",188500,2,1.75,1240,2493,1,0,0,4,8,1240,0,1985,1270,4966,55845,70268,36495,17499,25240,3891,1913,12.1468532858702
"111",597750,4,2.5,2310,9624,2,0,0,3,8,2310,0,1984,1940,9636,102025,125816,27855,14967,19891,6923,4184,13.3009278853206
"113",272500,3,1.75,1540,12600,1,0,0,4,7,1160,380,1980,1540,11656,96134,107851,34362,16520,22542,5616,2160,12.5153938930854
"114",329950,3,1.75,2080,5969,1,0,2,3,7,1080,1000,1971,2090,5500,53143,71222,24681,12269,16958,3293,1439,12.7066964068116
"115",480000,4,2.5,3230,16171,2,0,3,3,9,2520,710,2001,2640,8517,71555,85389,32194,15530,21493,3623,1278,13.0815413828841
"118",205425,2,1,880,6780,1,0,0,4,6,880,0,1945,1190,6780,60839,74831,25363,12091,17242,3113,1370,12.2328362827994
"119",171800,4,2,1570,9600,1,0,0,3,6,1570,0,1950,1880,9000,49188,62468,32569,15655,21948,2957,1223,12.0540862885323
"120",535000,4,1,1610,2982,1.5,0,0,4,7,1610,0,1925,1610,4040,62633,93145,28302,16189,21495,6420,3829,13.1900220258781
"121",660000,3,2.5,2400,6474,1,0,2,3,8,1560,840,1964,2340,10856,92938,124737,19328,9763,14653,5414,3500,13.3999951140026
"122",391500,3,2,1450,9132,1,0,0,3,7,1450,0,1987,1580,9104,81694,102856,42590,23454,30736,10266,5543,12.877740794413
"123",395000,2,1,770,6000,1,0,0,3,6,770,0,1953,1710,6000,92316,108574,31921,19236,23976,9337,6322,12.8866410438833
"124",445000,4,1.75,2100,4400,1.5,0,0,5,7,1720,380,1924,1850,4400,55725,76481,44839,21938,31643,6978,4482,13.0058295611484
"127",445000,3,2.25,2100,8201,1,0,2,3,8,1620,480,1967,2660,8712,60839,74831,25363,12091,17242,3113,1370,13.0058295611484
"128",260000,4,2.25,2160,8811,1,0,0,3,8,1360,800,1978,2090,8400,72303,86045,50065,25296,32832,6007,3011,12.4684369099977
"130",430000,4,2.5,2070,4310,2,0,0,3,7,2070,0,2004,1970,3748,120814,136924,13977,7166,8997,3605,1563,12.9715404876697
"131",212000,3,1.75,1060,7875,1,0,0,4,7,1060,0,1986,1420,7680,74144,89981,42380,20347,27351,6093,2792,12.2643415536542
"132",660500,4,2.25,2010,9603,1,0,0,3,8,1440,570,1986,2060,9793,102025,125816,27855,14967,19891,6923,4184,13.4007524029445
"134",453246,3,2.5,2010,2287,2,0,0,3,8,1390,620,2014,1690,1662,100725,118764,26586,13667,18180,7016,5137,13.0241903034265
"135",675000,4,3.5,2140,2278,3,0,0,3,9,2140,0,2005,1540,2285,77170,95689,23488,16073,19719,8553,4848,13.4224679698547
"137",220000,4,1.75,2020,7840,1,0,0,3,7,1010,1010,1968,1750,8140,46250,61010,46008,21432,30004,4648,1865,12.3013828253345
"138",452000,4,2.25,2590,10002,1,0,0,4,8,1340,1250,1968,1550,10436,90588,106180,21568,10783,14892,4806,2727,13.0214374588144
"139",382500,2,1,1190,4440,1,0,0,3,6,1190,0,1981,1060,5715,54561,77284,39254,21120,28365,8769,6040,12.8544839322487
"140",519950,3,2.25,1170,1249,3,0,0,3,8,1170,0,2014,1350,1310,77170,95689,23488,16073,19719,8553,4848,13.1614879320884
"141",665000,2,1,1110,3200,1,0,0,3,7,1110,0,1925,1170,3600,73794,122395,23912,15342,17421,7218,5057,13.407542319638
"142",527700,5,2.5,2820,9375,1,0,0,4,8,1550,1270,1968,2820,9375,113778,152406,37519,18235,25978,9109,6951,13.1762832193938
"143",205000,3,1,1610,8579,1,0,0,4,7,1010,600,1962,1610,8579,82134,95411,44430,23280,30762,8545,3142,12.2307652581205
"144",420000,3,1,1060,8097,1,0,0,4,7,940,120,1923,1560,7940,53836,69529,46329,24878,34944,9717,4648,12.9480099902596
"145",5e+05,4,2.25,2030,8517,1,0,0,4,8,1380,650,1961,2230,8824,113778,152406,37519,18235,25978,9109,6951,13.1223633774043
"147",890000,4,1,2550,4000,2,0,0,3,8,2370,180,1905,2200,4000,85957,105832,24450,17767,20034,8328,6001,13.6989767417083
"152",560000,3,1,1110,5000,1.5,0,0,3,7,1110,0,1947,1420,5000,77170,95689,23488,16073,19719,8553,4848,13.2356920627113
"153",282950,3,1,1250,8200,1,0,0,4,7,1250,0,1954,1680,8633,46250,61010,46008,21432,30004,4648,1865,12.5530254825707
"156",215000,3,1,1180,7669,1,0,0,4,7,1180,0,1967,1190,7669,82134,95411,44430,23280,30762,8545,3142,12.2783933071098
"158",320000,4,2.75,2640,7500,1,0,0,3,8,1620,1020,1967,1980,7875,72303,86045,50065,25296,32832,6007,3011,12.6760762747759
"159",247000,3,2,1270,7198,1.5,0,0,3,7,1270,0,1916,1160,7198,62842,82984,21567,10562,15210,2174,895,12.4171436156101
"160",320000,4,1.75,1760,11180,1,0,0,4,8,1760,0,1968,1730,11180,93918,113787,36409,18884,24796,7243,3704,12.6760762747759
"161",255000,5,2.25,2060,8632,1,0,0,3,7,1030,1030,1962,1010,11680,58429,79111,26730,12973,18034,3308,1610,12.4490188241406
"162",438000,3,1.75,1780,9660,1,0,0,3,7,1780,0,1962,1200,9660,81694,102856,42590,23454,30736,10266,5543,12.9899741893586
"164",441000,3,2.75,1910,7280,1,0,0,3,7,1160,750,1979,1710,8152,81694,102856,42590,23454,30736,10266,5543,12.996800154429
"166",370000,3,1.75,1580,7000,1,0,0,3,7,1180,400,1976,1640,7500,81694,102856,42590,23454,30736,10266,5543,12.8212582846204
"167",269950,2,1.75,1340,7250,1,0,0,5,5,700,640,1949,1830,9750,55845,70268,36495,17499,25240,3891,1913,12.5059920356464
"168",807100,4,2.5,2680,4499,2,0,0,3,9,2680,0,1999,2920,4500,113778,152406,37519,18235,25978,9109,6951,13.6012028553125
"169",653000,3,2.5,2680,9750,1,0,0,4,8,1610,1070,1979,2480,8750,81694,102856,42590,23454,30736,10266,5543,13.3893324082586
"170",371500,3,2,1370,8336,1,0,0,5,7,1370,0,1964,1770,7288,53836,69529,46329,24878,34944,9717,4648,12.82530414314
"172",272000,3,1.75,2160,7140,1,0,0,4,7,1670,490,1978,1930,7350,72303,86045,50065,25296,32832,6007,3011,12.5135573452781
"173",313000,3,1.5,1340,7912,1.5,0,0,3,7,1340,0,1955,1480,7940,53836,69529,46329,24878,34944,9717,4648,12.6539584695223
"175",673000,4,2.25,2590,8190,2,0,0,4,8,2590,0,1980,2260,8335,113778,152406,37519,18235,25978,9109,6951,13.4195006086269
"176",425000,3,2.5,1120,1100,2,0,0,3,8,820,300,2008,1590,1795,60563,89761,35052,22656,25268,9679,6099,12.9598444479066
"177",399950,5,2.75,1970,5400,1,0,0,3,7,1320,650,1986,1280,2150,62633,93145,28302,16189,21495,6420,3829,12.899094818277
"178",385000,3,1,1220,4800,1,0,0,3,6,1220,0,1901,1200,4800,60563,89761,35052,22656,25268,9679,6099,12.8609986132699
"179",269950,3,1.5,1950,7560,1,0,2,4,7,1320,630,1975,1950,8941,62842,82984,21567,10562,15210,2174,895,12.5059920356464
"180",330000,2,1,1350,8220,1,0,0,3,7,1060,290,1949,1540,8280,92938,124737,19328,9763,14653,5414,3500,12.7068479334427
"181",260000,3,2.5,1670,5797,2,0,0,3,7,1670,0,1988,1670,6183,52713,65762,36730,16092,22367,3349,1133,12.4684369099977
"182",470000,4,3,2380,5125,1.5,0,0,4,7,1680,700,1925,1410,5375,68342,92756,22849,12110,16469,5243,2623,13.0604879736862
"183",589000,4,3,2440,9600,2,0,0,5,7,2440,0,1961,2290,9600,81694,102856,42590,23454,30736,10266,5543,13.2861814626337
"184",163500,2,1.5,1050,3419,2,0,0,3,7,1050,0,1996,1050,3417,96134,107851,34362,16520,22542,5616,2160,12.0045682693194
"187",269000,4,1.75,1490,10000,1,0,0,4,8,1100,390,1969,2190,8910,72303,86045,50065,25296,32832,6007,3011,12.502466658584
"191",305000,3,1.75,1650,9480,1,0,0,3,7,1220,430,1977,1540,8400,81694,102856,42590,23454,30736,10266,5543,12.6280670555895
"192",166950,3,1,1190,8820,1,0,0,3,6,1190,0,1959,1230,7980,82134,95411,44430,23280,30762,8545,3142,12.0254496453718
"194",4e+05,3,2.5,2180,7508,1,0,0,4,7,1420,760,1962,1900,7818,53836,69529,46329,24878,34944,9717,4648,12.8992198260901
"195",230000,3,1,1060,10228,1,0,0,3,7,1060,0,1948,1570,10228,75839,93844,34081,17844,25173,6790,4418,12.3458345879053
"196",256883,3,2.5,1690,5025,2,0,0,3,8,1690,0,2003,2550,5001,72303,86045,50065,25296,32832,6007,3011,12.4563760073
"197",423000,4,2,1970,6480,1.5,0,0,5,7,1130,840,1920,1500,6480,53143,71222,24681,12269,16958,3293,1439,12.9551274580284
"198",465000,3,2.5,2150,4084,2,0,0,3,8,2150,0,2007,1750,2385,68342,92756,22849,12110,16469,5243,2623,13.0497926845695
"201",210000,3,1,860,11725,1,0,0,4,6,860,0,1943,1300,9514,73330,94174,33944,18957,24046,6177,2986,12.2548628096996
"202",297000,3,2.5,1940,14952,2,0,0,3,8,1940,0,1994,2030,10450,89352,102333,44894,23934,31039,6640,2815,12.6014874177848
"203",470000,3,1,1010,5000,1,0,0,3,7,1010,0,1952,1680,5000,77170,95689,23488,16073,19719,8553,4848,13.0604879736862
"204",226500,3,1.5,1300,7370,1,0,0,4,7,900,400,1976,1430,7500,72303,86045,50065,25296,32832,6007,3011,12.3305002239052
"205",274250,3,1,910,8450,1,0,0,4,6,910,0,1962,1400,8040,93918,113787,36409,18884,24796,7243,3704,12.5217953781375
"208",425000,3,1,1010,5864,1,0,0,3,7,1010,0,1915,1290,5000,77781,103895,23968,13416,18608,7160,4064,12.9598444479066
"209",180250,2,0.75,900,9600,1,0,0,3,6,900,0,1941,1250,14280,66323,89866,21087,10825,15070,3695,2129,12.1021000551472
"211",320000,4,2.25,1550,7579,2,0,0,3,8,1550,0,1993,1630,6397,96134,107851,34362,16520,22542,5616,2160,12.6760762747759
"212",625504,3,2.25,1270,1566,2,0,0,3,8,1060,210,2014,1160,1327,49647,91786,45515,22940,20694,7943,7250,13.3463130037527
"215",477000,4,2.75,1720,6270,2,0,0,3,8,1720,0,1978,2130,8700,55725,76481,44839,21938,31643,6978,4482,13.0752717698705
"216",280000,2,1,850,16400,1,0,0,3,6,850,0,1923,1100,14459,49188,62468,32569,15655,21948,2957,1223,12.5425448821514
"218",445838,3,2.5,2250,5692,2,0,0,3,8,2250,0,2000,1320,5390,58429,79111,26730,12973,18034,3308,1610,13.0077109363191
"220",467000,2,1.5,1320,10800,1,0,0,4,8,1320,0,1947,2120,12040,92938,124737,19328,9763,14653,5414,3500,13.054084536651
"222",279950,3,2,1750,9750,1,0,0,3,7,1350,400,1961,1900,10125,55845,70268,36495,17499,25240,3891,1913,12.542366294777
"224",325000,3,2.25,2220,16020,1,0,0,4,8,1780,440,1966,2080,9583,52713,65762,36730,16092,22367,3349,1133,12.6915804613119
"225",328000,3,2.25,2020,8379,2,0,0,3,7,2020,0,1994,2020,8031,96134,107851,34362,16520,22542,5616,2160,12.7007688873663
"226",390000,3,2.25,1250,7500,1,0,0,5,7,1250,0,1942,1280,7392,58429,79111,26730,12973,18034,3308,1610,12.8739020181058
"227",479950,2,2,1510,6516,1,0,0,3,8,1510,0,2005,1640,6009,120970,152901,21185,10046,14975,5486,4300,13.0814372107917
"228",264950,4,2.25,1720,9753,1,0,0,4,7,1120,600,1978,1510,9753,72303,86045,50065,25296,32832,6007,3011,12.4872964079209
"229",235000,3,1,1430,15246,1,0,0,4,7,980,450,1961,1960,13068,67793,80105,36390,17983,23631,4197,1828,12.3673407931263
"230",516500,3,2.5,1480,4729,2,0,0,3,7,1480,0,2004,2250,4729,120970,152901,21185,10046,14975,5486,4300,13.1548305675418
"231",655000,2,1.75,1450,15798,2,1,4,3,7,1230,220,1915,2030,13193,66323,89866,21087,10825,15070,3695,2129,13.3923905146174
"234",213000,2,1,1000,10200,1,0,0,3,6,1000,0,1961,1150,13702,112308,140900,5847,2780,4066,1349,624,12.2690474446916
"235",475000,3,1.5,2480,5280,1.5,0,0,5,7,1620,860,1947,2090,4800,53143,71222,24681,12269,16958,3293,1439,13.0710700830168
"238",410000,4,1,1970,4740,1.5,0,0,3,7,1670,300,1904,1510,4740,60563,89761,35052,22656,25268,9679,6099,12.9239124386805
"241",225000,3,1.75,1430,8505,1,0,0,4,7,1430,0,1968,1190,8640,46250,61010,46008,21432,30004,4648,1865,12.3238556811866
"242",210000,2,1,830,6000,1,0,0,3,6,830,0,1940,830,4960,68342,92756,22849,12110,16469,5243,2623,12.2548628096996
"244",225000,3,1,1300,8316,1,0,0,4,6,1300,0,1954,1260,8316,45078,54713,33817,14272,21690,2015,637,12.3238556811866
"246",363000,3,2.5,2740,11872,2,0,0,3,9,2740,0,1990,2570,10377,72303,86045,50065,25296,32832,6007,3011,12.802158113247
"248",181000,2,1.5,720,5120,1,0,0,3,6,720,0,1954,1150,2566,53848,67124,24603,13130,17270,4080,1622,12.106252310248
"249",250000,4,2,2010,7312,1,0,0,4,7,2010,0,1976,2010,7650,45078,54713,33817,14272,21690,2015,637,12.4292161968444
"251",260000,3,2,1810,7209,1,0,0,4,7,1240,570,1978,1750,7209,49591,64172,36368,17036,23244,3865,1371,12.4684369099977
"254",349500,3,1,1400,3538,1,0,0,3,7,800,600,1953,1620,6331,55725,76481,44839,21938,31643,6978,4482,12.764258840656
"255",245000,3,2.5,1730,7442,2,0,0,3,7,1730,0,1987,1630,6458,52713,65762,36730,16092,22367,3349,1133,12.4090134895269
"257",385000,4,1.75,2360,7620,1,0,0,4,7,1180,1180,1955,1910,7620,53848,67124,24603,13130,17270,4080,1622,12.8609986132699
"258",315000,3,1.75,1580,11455,1,0,0,4,7,1200,380,1974,1550,10650,93918,113787,36409,18884,24796,7243,3704,12.6603279178078
"259",255000,3,1,1230,10170,1,0,0,3,7,1230,0,1979,1380,10098,93380,114017,14635,7906,10127,2721,1139,12.4490188241406
"261",780000,3,1,1660,4400,1.5,0,0,3,8,1460,200,1911,1660,4400,103816,162949,22230,12734,16892,6256,6715,13.5670491986658
"262",237000,3,1.75,1270,8470,1,0,0,4,7,1270,0,1960,1600,8470,55845,70268,36495,17499,25240,3891,1913,12.3758154201173
"264",425000,2,1,770,5040,1,0,0,3,5,770,0,1930,1330,2580,62633,93145,28302,16189,21495,6420,3829,12.9598444479066
"266",290000,4,2.5,1700,7280,2,0,0,4,7,1700,0,1988,1950,7475,67793,80105,36390,17983,23631,4197,1828,12.5776362019627
"267",285000,3,1,1120,10701,1,0,0,3,7,1120,0,1954,1130,6350,53848,67124,24603,13130,17270,4080,1622,12.5602444592508
"269",272500,3,2.5,2070,9900,1,0,0,3,8,1420,650,1979,2070,8250,72303,86045,50065,25296,32832,6007,3011,12.5153938930854
"272",436000,2,1,1040,7538,1,0,0,4,7,1040,0,1939,1440,7530,53836,69529,46329,24878,34944,9717,4648,12.9853975223312
"273",210000,3,1,1700,11390,1,0,0,4,7,1700,0,1967,1350,8164,46250,61010,46008,21432,30004,4648,1865,12.2548628096996
"274",236000,3,1,1300,5898,1,0,0,3,7,1300,0,1961,1320,7619,60839,74831,25363,12091,17242,3113,1370,12.3715870840077
"275",331000,3,1.75,1080,1306,1,0,0,3,7,580,500,1954,1440,2225,87486,126065,20871,11579,15645,6235,4309,12.7098736543592
"276",365000,3,2.5,2653,4510,2,0,0,3,8,2653,0,2006,2653,4927,67793,80105,36390,17983,23631,4197,1828,12.8076526325646
"277",450000,3,2,2290,16258,1,0,0,5,8,2290,0,1960,1660,10530,82134,95411,44430,23280,30762,8545,3142,13.0170028617465
"280",405000,3,1.75,2390,6000,1,0,0,3,6,1240,1150,1908,2020,6000,55725,76481,44839,21938,31643,6978,4482,12.9116423460887
"281",304900,4,1.75,2600,11325,1,0,0,4,7,1610,990,1969,1720,11088,67793,80105,36390,17983,23631,4197,1828,12.6277391329763
"282",170000,2,1,860,5265,1,0,0,3,6,860,0,1931,1650,8775,60839,74831,25363,12091,17242,3113,1370,12.0435537160324
"285",330000,3,3,2420,13959,1,0,0,4,8,1740,680,1988,2570,13300,90588,106180,21568,10783,14892,4806,2727,12.7068479334427
"286",370000,4,2.5,2720,8666,2,0,0,3,9,2720,0,1992,2410,8100,52713,65762,36730,16092,22367,3349,1133,12.8212582846204
"287",467000,5,2.25,2500,13500,1,0,0,3,7,1850,650,1979,2300,9750,106545,144116,22779,11864,15725,5230,3141,13.054084536651
"288",405000,3,1.75,1670,6720,1,0,0,3,7,1140,530,1980,1670,7320,81694,102856,42590,23454,30736,10266,5543,12.9116423460887
"290",5e+05,2,1,1640,14100,1,0,0,4,7,1140,500,1954,1520,13527,113778,152406,37519,18235,25978,9109,6951,13.1223633774043
"292",630000,4,1.75,2950,9025,1,0,2,4,8,1780,1170,1975,2120,9600,81694,102856,42590,23454,30736,10266,5543,13.3534750983677
